"סִינוֹפְּסִיס"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A1%D6%B4%D7%99%D7%A0%D7%95%D6%B9%D7%A4%D6%BC%D6%B0%D7%A1%D6%B4%D7%99%D7%A1-n>		<http://wordnet-rdf.princeton.edu/wn30/06468951-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%A4%A7%E6%A6%82-n>		"大概"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/09849598-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%A6%AA%E6%84%9B%E7%9A%84-n>		"親愛的"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/09786338-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%A4%A7%E5%AD%B8%E7%94%9F-n>		"大學生"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/02854739-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%A4%B2%E5%AD%90-n>		"褲子"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/10448983-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%AD%A6%E5%93%A1-n>		"警員"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/10448983-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%AD%A6-n>		"警"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/10448983-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%AD%A6%E5%AE%98-n>		"警官"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/10045713-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%95%99-n>		"教"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/10718131-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%81%8A%E5%AE%A2-n>		"遊客"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/07800091-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%A3%BC-n>		"飼"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/10514429-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%88%A4-n>		"判"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/10112591-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%A5%BD%E6%9C%8B%E5%8F%8B-n>		"好朋友"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/10112591-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%95%85-n>		"故"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/09847010-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%B8%90-n>		"丐"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/10640620-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%81%B6-n>		"偶"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/09974648-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%8C%A0-n>		"匠"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/10694258-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%95%99%E5%B8%AB-n>		"教師"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/10694258-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%B8%AB-n>		"師"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/02944826-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%87%9F%E5%9C%B0-n>		"營地"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/09951524-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%90%8C%E5%BF%97-n>		"同志"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/09617867-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%80%9A-n>		"通"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/09617867-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%85%A7%E8%A1%8C-n>		"內行"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/10078806-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%BE%B2%E6%B0%91-n>		"農民"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/00620752-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%8B%9E-n>		"勞"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/10681383-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%AB%8C-n>		"嫌"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/09623038-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%95%B7-n>		"長"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/09623038-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%82%BA%E9%A6%96-n>		"為首"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/09623038-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%A6%96-n>		"首"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/09623038-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%BE%8D%E9%A0%AD-n>		"龍頭"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/09623038-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%A0%AD-n>		"頭"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/10670483-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%AE%80%E8%80%85-n>		"讀者"@qcn	
"GAP!"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/GAP%21-n>		<http://wordnet-rdf.princeton.edu/wn30/10009484-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%8E%A2-n>		"探"@qcn	
"!מֻמְחֶה"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%9E%D6%BB%D7%9E%D6%B0%D7%97%D6%B6%D7%94-n>		<http://wordnet-rdf.princeton.edu/wn30/10631941-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%B0%88%E9%96%80-n>		"專門"@qcn	
"גִּיד"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%92%D6%BC%D6%B4%D7%99%D7%93-n>		<http://wordnet-rdf.princeton.edu/wn30/05296253-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%AD%8B-n>		"筋"@qcn	
"גִּיד"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%92%D6%BC%D6%B4%D7%99%D7%93-n>		<http://wordnet-rdf.princeton.edu/wn30/05526384-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%9E%AD-n>		"鞭"@qcn	
"גִּיד"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%92%D6%BC%D6%B4%D7%99%D7%93-n>		<http://wordnet-rdf.princeton.edu/wn30/05526384-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%B3%A5-n>		"鳥"@qcn	
"שָׁנוּן"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A9%D7%81%D6%B8%D7%A0%D7%95%D6%BC%D7%9F-a>		<http://wordnet-rdf.princeton.edu/wn30/01268194-a>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%BF%8A-a>		"俊"@qcn	
"מִיָּד"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%9E%D6%B4%D7%99%D6%BC%D6%B8%D7%93-r>		<http://wordnet-rdf.princeton.edu/wn30/00048739-r>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%AB%8B-r>		"立"@qcn	
"מִיָּד"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%9E%D6%B4%D7%99%D6%BC%D6%B8%D7%93-r>		<http://wordnet-rdf.princeton.edu/wn30/00048739-r>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%80%99-r>		"這"@qcn	
"מִיָּד"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%9E%D6%B4%D7%99%D6%BC%D6%B8%D7%93-r>		<http://wordnet-rdf.princeton.edu/wn30/00048739-r>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%8F%BE-r>		"現"@qcn	
"מִיָּד"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%9E%D6%B4%D7%99%D6%BC%D6%B8%D7%93-r>		<http://wordnet-rdf.princeton.edu/wn30/00048739-r>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%8F%8A%E6%99%82-r>		"及時"@qcn	
"מִיָּד"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%9E%D6%B4%D7%99%D6%BC%D6%B8%D7%93-r>		<http://wordnet-rdf.princeton.edu/wn30/00048739-r>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%9A%A8%E6%99%82-r>		"隨時"@qcn	
"פִּתְרוֹן"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A4%D6%BC%D6%B4%D7%AA%D6%B0%D7%A8%D7%95%D6%B9%D7%9F-n>		<http://wordnet-rdf.princeton.edu/wn30/06743506-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%A7%A3-n>		"解"@qcn	
"פִּתְרוֹן"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A4%D6%BC%D6%B4%D7%AA%D6%B0%D7%A8%D7%95%D6%B9%D7%9F-n>		<http://wordnet-rdf.princeton.edu/wn30/06743506-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%AD%94%E6%A1%88-n>		"答案"@qcn	
"קָרָה"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A7%D6%B8%D7%A8%D6%B8%D7%94-v>		<http://wordnet-rdf.princeton.edu/wn30/00339934-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%99%BC-v>		"發"@qcn	
"קָרָה"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A7%D6%B8%D7%A8%D6%B8%D7%94-v>		<http://wordnet-rdf.princeton.edu/wn30/00339934-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%94%9F-v>		"生"@qcn	
"קָרָה"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A7%D6%B8%D7%A8%D6%B8%D7%94-v>		<http://wordnet-rdf.princeton.edu/wn30/00339934-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%A1%88%E7%99%BC-v>		"案發"@qcn	
"קָרָה"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A7%D6%B8%D7%A8%D6%B8%D7%94-v>		<http://wordnet-rdf.princeton.edu/wn30/00339934-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%99%BC%E7%94%9F-v>		"發生"@qcn	
"יִתְרוֹן"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%99%D6%B4%D7%AA%D6%B0%D7%A8%D7%95%D6%B9%D7%9F-n>		<http://wordnet-rdf.princeton.edu/wn30/05155821-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%95%B7-n>		"長"@qcn	
"יִתְרוֹן"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%99%D6%B4%D7%AA%D6%B0%D7%A8%D7%95%D6%B9%D7%9F-n>		<http://wordnet-rdf.princeton.edu/wn30/05155821-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%BE%BF-n>		"便"@qcn	
"יִתְרוֹן"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%99%D6%B4%D7%AA%D6%B0%D7%A8%D7%95%D6%B9%D7%9F-n>		<http://wordnet-rdf.princeton.edu/wn30/05155821-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%84%AA%E5%8B%A2-n>		"優勢"@qcn	
"יִתְרוֹן"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%99%D6%B4%D7%AA%D6%B0%D7%A8%D7%95%D6%B9%D7%9F-n>		<http://wordnet-rdf.princeton.edu/wn30/05155821-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E9%A0%AD-n>		"頭"@qcn	
"יִתְרוֹן"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%99%D6%B4%D7%AA%D6%B0%D7%A8%D7%95%D6%B9%D7%9F-n>		<http://wordnet-rdf.princeton.edu/wn30/05157574-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%88%A9%E7%9B%8A-n>		"利益"@qcn	
"קֶסֶם"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A7%D6%B6%D7%A1%D6%B6%D7%9D-n>		<http://wordnet-rdf.princeton.edu/wn30/04687333-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%99%9F%E5%8F%AC-n>		"號召"@qcn	
"פַּרְשִׁיַּת-אֲהָבִים"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A4%D6%BC%D6%B7%D7%A8%D6%B0%D7%A9%D7%81%D6%B4%D7%99%D6%BC%D6%B7%D7%AA-%D7%90%D6%B2%D7%94%D6%B8%D7%91%D6%B4%D7%99%D7%9D-n>		<http://wordnet-rdf.princeton.edu/wn30/13931889-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%81%B7-n>		"偷"@qcn	
"מְאוֹד-מְאוֹד"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%9E%D6%B0%D7%90%D7%95%D6%B9%D7%93-%D7%9E%D6%B0%D7%90%D7%95%D6%B9%D7%93-r>		<http://wordnet-rdf.princeton.edu/wn30/00059171-r>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%88%87-r>		"切"@qcn	
"!גַּן"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%92%D6%BC%D6%B7%D7%9F-n>		<http://wordnet-rdf.princeton.edu/wn30/08412136-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%9C%92-n>		"園"@qcn	
"עָבָר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A2%D6%B8%D7%91%D6%B8%D7%A8-n>		<http://wordnet-rdf.princeton.edu/wn30/15120823-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%B9%8B%E5%89%8D-n>		"之前"@qcn	
"עָבָר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A2%D6%B8%D7%91%D6%B8%D7%A8-n>		<http://wordnet-rdf.princeton.edu/wn30/15120823-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%89%8D%E9%9D%A2-n>		"前面"@qcn	
"עָבָר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A2%D6%B8%D7%91%D6%B8%D7%A8-n>		<http://wordnet-rdf.princeton.edu/wn30/15120823-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%BE%80-n>		"往"@qcn	
"עָבָר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A2%D6%B8%D7%91%D6%B8%D7%A8-n>		<http://wordnet-rdf.princeton.edu/wn30/15120823-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%89%8D-n>		"前"@qcn	
"עָבָר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A2%D6%B8%D7%91%D6%B8%D7%A8-n>		<http://wordnet-rdf.princeton.edu/wn30/15120823-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%BE%8C-n>		"後"@qcn	
"עָבָר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A2%D6%B8%D7%91%D6%B8%D7%A8-n>		<http://wordnet-rdf.princeton.edu/wn30/15120823-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%90%8E-n>		"后"@qcn	
"עָבָר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A2%D6%B8%D7%91%D6%B8%D7%A8-n>		<http://wordnet-rdf.princeton.edu/wn30/15120823-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%BB%A5%E5%89%8D-n>		"以前"@qcn	
"!הוֹצָאָה"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%94%D7%95%D6%B9%D7%A6%D6%B8%D7%90%D6%B8%D7%94-n>		<http://wordnet-rdf.princeton.edu/wn30/13275495-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%B3%87-n>		"資"@qcn	
"!הוֹצָאָה"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%94%D7%95%D6%B9%D7%A6%D6%B8%D7%90%D6%B8%D7%94-n>		<http://wordnet-rdf.princeton.edu/wn30/13275495-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%92%A5%E6%AC%BE-n>		"撥款"@qcn	
"!הוֹצָאָה"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%94%D7%95%D6%B9%D7%A6%D6%B8%D7%90%D6%B8%D7%94-n>		<http://wordnet-rdf.princeton.edu/wn30/13275495-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%B2%BB%E7%94%A8-n>		"費用"@qcn	
"!דִּמּוּי"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%93%D6%BC%D6%B4%D7%9E%D6%BC%D7%95%D6%BC%D7%99-n>		<http://wordnet-rdf.princeton.edu/wn30/07106800-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%AF%94-n>		"比"@qcn	
"!דִּמּוּי"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%93%D6%BC%D6%B4%D7%9E%D6%BC%D7%95%D6%BC%D7%99-n>		<http://wordnet-rdf.princeton.edu/wn30/07108282-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%AF%94-n>		"比"@qcn	
"חָבֵר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%97%D6%B8%D7%91%D6%B5%D7%A8-n>		<http://wordnet-rdf.princeton.edu/wn30/09877124-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%90%8C%E5%BF%97-n>		"同志"@qcn	
"חָבֵר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%97%D6%B8%D7%91%D6%B5%D7%A8-n>		<http://wordnet-rdf.princeton.edu/wn30/09877124-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%85%84%E5%BC%9F-n>		"兄弟"@qcn	
"חָבֵר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%97%D6%B8%D7%91%D6%B5%D7%A8-n>		<http://wordnet-rdf.princeton.edu/wn30/09877124-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%BC%9F%E5%85%84-n>		"弟兄"@qcn	
"רָצוּץ"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A8%D6%B8%D7%A6%D7%95%D6%BC%D7%A5-a>		<http://wordnet-rdf.princeton.edu/wn30/02433451-a>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%A1%B0%E7%AB%AD-a>		"衰竭"@qcn	
"!אֵזוֹר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%90%D6%B5%D7%96%D7%95%D6%B9%D7%A8-n>		<http://wordnet-rdf.princeton.edu/wn30/08497294-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%A2%83-n>		"境"@qcn	
"!אֵזוֹר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%90%D6%B5%D7%96%D7%95%D6%B9%D7%A8-n>		<http://wordnet-rdf.princeton.edu/wn30/08688247-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%9C%88-n>		"圈"@qcn	
"עוֹבֵד-צִבּוּר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A2%D7%95%D6%B9%D7%91%D6%B5%D7%93-%D7%A6%D6%B4%D7%91%D6%BC%D7%95%D6%BC%D7%A8-n>		<http://wordnet-rdf.princeton.edu/wn30/10372373-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%90%8F-n>		"吏"@qcn	
"הִתְגַּבֵּר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B4%D7%AA%D6%B0%D7%92%D6%BC%D6%B7%D7%91%D6%BC%D6%B5%D7%A8-v>		<http://wordnet-rdf.princeton.edu/wn30/01108148-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%B8%A1-v>		"渡"@qcn	
"הִתְגַּבֵּר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B4%D7%AA%D6%B0%D7%92%D6%BC%D6%B7%D7%91%D6%BC%D6%B5%D7%A8-v>		<http://wordnet-rdf.princeton.edu/wn30/01108148-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%B8%A1%E9%81%8E-v>		"渡過"@qcn	
"קֶדֶם"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A7%D6%B6%D7%93%D6%B6%D7%9D-n>		<http://wordnet-rdf.princeton.edu/wn30/13832355-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%B7%A6-n>		"左"@qcn	
"קֶדֶם"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A7%D6%B6%D7%93%D6%B6%D7%9D-n>		<http://wordnet-rdf.princeton.edu/wn30/13832355-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%9D%B1%E8%A5%BF-n>		"東西"@qcn	
"קֶדֶם"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A7%D6%B6%D7%93%D6%B6%D7%9D-n>		<http://wordnet-rdf.princeton.edu/wn30/13832355-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%9D%B1%E6%96%B9-n>		"東方"@qcn	
"קֶדֶם"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A7%D6%B6%D7%93%D6%B6%D7%9D-n>		<http://wordnet-rdf.princeton.edu/wn30/13832355-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%9D%B1-n>		"東"@qcn	
"!נִשְׁאַר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%21%D7%A0%D6%B4%D7%A9%D7%81%D6%B0%D7%90%D6%B7%D7%A8-v>		<http://wordnet-rdf.princeton.edu/wn30/00117985-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%9B%BA%E5%AE%9A-v>		"固定"@qcn	
"נָבַט"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A0%D6%B8%D7%91%D6%B7%D7%98-v>		<http://wordnet-rdf.princeton.edu/wn30/00357332-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%99%BC%E5%87%BA-v>		"發出"@qcn	
"נָבַט"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A0%D6%B8%D7%91%D6%B7%D7%98-v>		<http://wordnet-rdf.princeton.edu/wn30/00357332-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%99%BC-v>		"發"@qcn	
"אָמַר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%90%D6%B8%D7%9E%D6%B7%D7%A8-v>		<http://wordnet-rdf.princeton.edu/wn30/00746718-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E7%A4%BA-v>		"示"@qcn	
"אָמַר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%90%D6%B8%D7%9E%D6%B7%D7%A8-v>		<http://wordnet-rdf.princeton.edu/wn30/01009240-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%A1%A8%E7%A4%BA-v>		"表示"@qcn	
"אָמַר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%90%D6%B8%D7%9E%D6%B7%D7%A8-v>		<http://wordnet-rdf.princeton.edu/wn30/01009240-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%9B%B0-v>		"曰"@qcn	
"אָמַר"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%90%D6%B8%D7%9E%D6%B7%D7%A8-v>		<http://wordnet-rdf.princeton.edu/wn30/01009240-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%AA%AA%E5%87%BA-v>		"說出"@qcn	
